host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label
1780605692.1184733,0.03269739999086596,287815,0.05127,-0.032471,1.041016,1.122137,3.480916,-1.145038,1.042783,3.832373,6755,11412,4656,6755,0,17.986,5,mixed_anomaly
1780605692.1489797,0.06320379998942371,287846,0.051758,-0.045166,1.061523,1.412214,2.450382,-0.526718,1.063744,2.87683,6756,11414,4657,6756,0,17.986,5,mixed_anomaly
1780605692.179234,0.0934580999892205,287877,0.04248,-0.035645,1.051514,1.900763,2.748092,-1.679389,1.052975,3.739687,6758,11419,4660,6758,1,39.711,4,mixed_anomaly
1780605692.2107277,0.1249517999967793,287908,0.071045,-0.041504,1.044922,1.656489,3.656489,-1.022901,1.048156,4.142486,6760,11422,4661,6760,0,39.711,5,mixed_anomaly
1780605692.2413576,0.15558159998909105,287939,0.039551,-0.03125,1.05542,0.862595,2.343511,-0.503817,1.056623,2.547538,6762,11426,4663,6762,0,39.711,1,mixed_anomaly
1780605692.2727404,0.1869645999977365,287970,0.04834,-0.03418,1.054199,2.847328,3.633588,0.10687,1.05586,4.617538,6764,11429,4664,6764,1,39.711,18,mixed_anomaly
1780605692.3036962,0.2179201999970246,288001,0.064941,-0.009277,1.05249,1.114504,2.839695,-0.839695,1.054533,3.164028,6768,11434,4665,6768,0,39.711,5,mixed_anomaly
1780605692.3358219,0.2500459999864688,288032,0.054688,-0.023926,1.071777,0.877863,2.40458,-0.633588,1.073438,2.637059,6771,11438,4666,6771,0,39.711,0,mixed_anomaly
1780605692.3660026,0.28022659999260213,288063,0.052246,-0.046387,1.053955,3.78626,3.717557,-0.328244,1.056268,5.316365,6774,11442,4667,6774,0,39.711,5,mixed_anomaly
1780605692.4129777,0.3272018999996362,288095,0.035889,0.039795,1.045654,-0.175573,3.206107,-0.534351,1.047026,3.25507,6776,11446,4669,6776,0,39.711,0,mixed_anomaly
1780605692.4287214,0.34294559998670593,288126,0.026367,-0.078369,1.047607,1.671756,2.954198,0.541985,1.050865,3.437412,6777,11449,4671,6777,1,39.711,18,mixed_anomaly
1780605692.4607794,0.37500359999830835,288158,0.066895,-0.018311,1.051514,2.687023,2.641221,-0.358779,1.053798,3.78482,6781,11454,4672,6781,0,81.851,5,mixed_anomaly
1780605692.491184,0.40540809999220073,288189,0.031982,-0.022949,1.059814,-0.21374,2.503817,-0.832061,1.060545,2.647094,6782,11456,4673,6782,0,81.851,5,mixed_anomaly
1780605692.5242732,0.43849739999859594,288220,0.028564,-0.021484,1.04248,3.938931,3.251908,0.78626,1.043093,5.168006,6785,11461,4675,6785,1,81.851,18,mixed_anomaly
1780605692.5533864,0.4676104999962263,288251,0.044922,0.006104,1.042725,1.328244,3.045802,-0.374046,1.04371,3.343808,6788,11466,4677,6788,0,81.851,0,mixed_anomaly
1780605692.5853598,0.4995838999893749,288282,0.028076,-0.041992,1.065918,1.40458,1.80916,-1.557252,1.067114,2.769646,6789,11468,4678,6789,0,81.851,5,mixed_anomaly
1780605692.6164892,0.5307132999878377,288313,0.046143,-0.014893,1.060303,4.076336,3.351145,-0.10687,1.061411,5.278078,6792,11473,4680,6792,1,81.851,15,mixed_anomaly
1780605692.6464038,0.560627899991232,288344,0.057129,0.003418,1.031006,0.938931,3.366412,-1.870229,1.032593,3.963847,6794,11476,4681,6794,0,81.851,5,mixed_anomaly
1780605692.6779194,0.5921434999909252,288375,0.025635,-0.046387,1.058594,0.152672,2.541985,0.19084,1.05992,2.553706,6797,11480,4682,6797,0,81.851,5,mixed_anomaly
1780605692.7085128,0.6227368999971077,288406,0.067871,-0.036133,1.066162,3.152672,2.900763,-0.503817,1.068931,4.313652,6800,11484,4683,6800,0,81.851,5,mixed_anomaly
1780605692.7412457,0.6554698999971151,288438,0.058105,-0.068115,1.03833,-0.908397,3.206107,-6.358778,1.042183,7.179023,6801,11486,4684,6801,0,71.429,5,mixed_anomaly
1780605692.7716715,0.6858955999923637,288469,0.015381,-0.035645,1.050781,-0.114504,1.870229,0.152672,1.051498,1.87994,6802,11488,4685,6802,0,71.429,4,mixed_anomaly
1780605692.8038607,0.7180846999981441,288500,0.018311,-0.030029,1.040283,0.427481,2.396947,-1.938931,1.040878,3.112482,6806,11494,4687,6806,0,71.429,5,mixed_anomaly
1780605692.834348,0.748572199998307,288531,0.039551,-0.059326,1.019287,3.053435,1.770992,-2.832061,1.021778,4.525533,6807,11496,4688,6807,0,71.429,5,mixed_anomaly
1780605692.864924,0.7791479999868898,288562,0.018555,-0.033691,1.085449,0.870229,1.961832,-1.091603,1.08613,2.407837,6808,11498,4689,6808,0,71.429,4,mixed_anomaly
1780605692.8965495,0.8107735999947181,288593,0.050049,-0.06665,1.069336,1.267176,2.160305,-1.343511,1.072579,2.842125,6811,11503,4691,6811,1,71.429,15,mixed_anomaly
1780605692.9276915,0.8419156999880215,288624,0.040039,-0.012451,1.014404,3.992366,4.015268,-0.290076,1.01527,5.6697,6813,11506,4692,6813,0,71.429,4,mixed_anomaly
