host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label,thermal_session_id,thermal_label,thermal_width,thermal_height,thermal_frame_index,thermal_capture_latency_s,thermal_temp_min_c,thermal_temp_mean_c,thermal_temp_p95_c,thermal_temp_max_c,thermal_temp_center_c,thermal_nearest_frame_dt_s,alignment_mode
1780606305.4134483,0.004904999994323589,158,0.020264,-0.10083,1.049561,1.068702,2.030534,-0.183206,1.054587,2.301903,10,19,9,10,1,0.0,18,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.0,0.14468070000293665,45.220001220703125,46.39920425415039,46.8699951171875,47.6400146484375,46.69000244140625,0.14103180001256987,shared_host_elapsed_s_interpolation
1780606305.4459088,0.037365399999544024,189,0.04834,0.003906,1.048096,2.091603,2.412214,0.312977,1.049217,3.208042,12,22,10,12,0,0.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.0,0.14468070000293665,45.220001220703125,46.39920425415039,46.8699951171875,47.6400146484375,46.69000244140625,0.10857140000734944,shared_host_elapsed_s_interpolation
1780606305.4746287,0.06608530000085011,219,0.037598,-0.02002,1.061523,-0.580153,1.679389,-1.755725,1.062378,2.497898,13,24,11,13,0,0.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.0,0.14468070000293665,45.220001220703125,46.39920425415039,46.8699951171875,47.6400146484375,46.69000244140625,0.07985150000604335,shared_host_elapsed_s_interpolation
1780606305.5064173,0.09787389999837615,250,0.054443,-0.071777,1.055664,4.167938,3.923664,-0.236641,1.059501,5.729123,16,28,12,16,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.0,0.14468070000293665,45.220001220703125,46.39920425415039,46.8699951171875,47.6400146484375,46.69000244140625,0.04806290000851732,shared_host_elapsed_s_interpolation
1780606305.536866,0.12832249999337364,281,0.033691,0.0354,1.042236,-0.473282,2.938931,-0.679389,1.043381,3.05334,19,32,13,19,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.0,0.14468070000293665,45.220001220703125,46.39920425415039,46.8699951171875,47.6400146484375,46.69000244140625,0.017614300013519824,shared_host_elapsed_s_interpolation
1780606305.5688848,0.16034149999904912,312,0.056885,-0.114014,1.043945,1.167939,2.053435,-0.244275,1.051692,2.374942,20,35,15,20,1,64.0,18,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.01375685397087443,0.14532790770633786,45.220001220703125,46.39955848222467,46.87054550889758,47.63960195961141,46.690277427348356,0.014404699992155656,shared_host_elapsed_s_interpolation
1780606305.605539,0.19699579999723937,343,0.037354,0.005127,1.064453,2.320611,2.969466,0.427481,1.065121,3.792848,22,38,16,22,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.04876264046794301,0.14697479693933313,45.220001220703125,46.40045985345138,46.87194603947917,47.63855182874817,46.69097715849324,0.05105899999034591,shared_host_elapsed_s_interpolation
1780606305.6292462,0.22070289999828674,373,0.046387,-0.015869,1.054199,-0.78626,1.961832,-1.770992,1.055339,2.757427,23,40,17,23,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.07140352246929871,0.14803996440233733,45.220001220703125,46.40104283819835,46.87285186822379,47.63787262992592,46.69142972739311,0.07476609999139328,shared_host_elapsed_s_interpolation
1780606305.6611686,0.25262519999523647,404,0.056152,-0.078613,1.05249,4.541984,4.152672,-0.10687,1.056915,6.155138,27,46,19,27,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.10189012890411722,0.14947424338624965,45.220001220703125,46.401827844124234,46.87407159298686,47.636958068947976,46.692039124585946,0.10668839998834301,shared_host_elapsed_s_interpolation
1780606305.6914024,0.28285909999976866,435,0.024414,0.036377,1.048584,-0.274809,2.763359,-0.519084,1.049499,2.825088,28,48,20,28,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.13076427050782072,0.15083266202721066,45.220001220703125,46.40257133036014,46.87522680537829,47.63609187994662,46.69261629019722,0.1369222999928752,shared_host_elapsed_s_interpolation
1780606305.721991,0.31344759999774396,466,-0.007568,-0.086182,1.044678,0.847328,2.900763,-0.496183,1.048254,3.062448,29,51,22,29,1,64.0,18,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.15997706410223048,0.15220701295745973,45.220001220703125,46.4033235366161,46.876395566743106,47.635215531798934,46.693200225127775,0.1675107999908505,shared_host_elapsed_s_interpolation
1780606305.752284,0.34374080000270624,497,0.022949,-0.000977,1.056885,1.908397,2.473282,0.496183,1.057134,3.163116,33,56,23,33,0,64.0,4,mixed_anomaly,mixed_anomaly4,mixed_anomaly,160.0,120.0,0.18890783871091388,0.15356809596610013,45.220001220703125,46.40406848110695,46.87755304493866,47.63434764387656,46.69377852277697,0.19780399999581277,shared_host_elapsed_s_interpolation
