host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label
1780603836.290273,0.010083100001793355,2746268,0.019775,-0.0354,1.059326,1.473282,2.145038,-1.015267,1.060102,2.793299,5792,10063,4270,5792,0,68.1,5,normal
1780603836.3219883,0.0417985999956727,2746299,0.05127,-0.018799,1.053223,3.099237,2.725191,-0.679389,1.054637,4.182524,5795,10068,4272,5795,1,68.1,18,normal
1780603836.3532724,0.07308269999339245,2746330,0.048828,-0.018066,1.039062,1.450382,2.900763,-0.557252,1.040366,3.290678,5797,10071,4273,5797,0,68.1,5,normal
1780603836.3835158,0.10332609999750275,2746361,0.029541,-0.024902,1.060059,0.778626,2.160305,-0.961832,1.060762,2.489638,5798,10073,4274,5798,0,68.1,6,normal
1780603836.4145854,0.13439549999020528,2746392,0.050293,-0.003174,1.047363,2.259542,3.282443,-0.465649,1.048575,4.01208,5799,10076,4276,5799,1,68.1,18,normal
1780603836.4439607,0.1637707999907434,2746422,0.046143,-0.024658,1.053223,1.70229,2.732824,-0.78626,1.054521,3.314261,5802,10081,4278,5802,0,68.1,5,normal
1780603836.474702,0.19451220000337344,2746452,0.053955,-0.003662,1.058594,0.435114,2.725191,-0.877863,1.059974,2.895968,5803,10083,4279,5803,0,68.1,6,normal
1780603836.5102422,0.23005250000278465,2746483,0.050537,-0.054199,1.050293,1.862595,2.419847,-0.328244,1.052904,3.071265,5804,10086,4281,5804,1,68.1,18,normal
1780603836.5359828,0.255793199990876,2746514,0.030273,-0.006104,1.065186,1.290076,2.625954,-0.984733,1.065633,3.08701,5806,10089,4282,5806,0,68.1,5,normal
1780603836.567335,0.28714519999630284,2746545,0.049805,-0.011719,1.04126,0.549618,3.083969,-0.740458,1.042516,3.218886,5807,10091,4283,5807,0,54.152,6,normal
1780603836.5992162,0.3190265000012005,2746576,0.055908,-0.065918,1.036621,1.70229,2.580153,-0.022901,1.040218,3.091198,5808,10096,4287,5808,1,54.152,18,normal
1780603836.6305776,0.35038769998936914,2746607,0.035889,-0.015625,1.054199,1.580153,2.534351,-0.793893,1.054926,3.090321,5810,10099,4288,5810,0,54.152,6,normal
1780603836.6617548,0.38156519999029115,2746638,0.043701,0.016846,1.057617,0.343511,3.427481,-0.557252,1.058654,3.489435,5811,10101,4289,5811,0,54.152,5,normal
1780603836.6924133,0.4122235999966506,2746669,0.03418,-0.056152,1.059326,1.839695,2.534351,-0.290076,1.061364,3.145084,5812,10104,4291,5812,1,54.152,18,normal
1780603836.723885,0.44369519999600016,2746700,0.039795,-0.020996,1.044922,2.061069,2.374046,-0.824427,1.04589,3.250197,5815,10109,4293,5815,0,54.152,6,normal
1780603836.7548656,0.4746759999979986,2746731,0.04248,0.011963,1.057617,0.679389,3.343511,-1.076336,1.058538,3.577588,5816,10111,4294,5816,0,54.152,5,normal
1780603836.786226,0.5060361999931047,2746762,0.044189,-0.043945,1.042725,1.832061,2.748092,-0.045802,1.044585,3.303113,5817,10114,4296,5817,1,54.152,18,normal
1780603836.8164527,0.5362629000010202,2746793,0.051758,-0.01123,1.058838,2.053435,2.358779,-0.70229,1.060162,3.205253,5819,10117,4297,5819,0,54.152,5,normal
1780603836.8472571,0.5670672999985982,2746824,0.053467,0.006348,1.053711,0.435114,3.442748,-0.78626,1.055086,3.558096,5820,10119,4298,5820,0,46.595,5,normal
1780603836.8780167,0.5978268999897409,2746855,0.047852,-0.046387,1.040283,1.977099,2.80916,-0.435114,1.042416,3.462604,5821,10124,4302,5821,1,46.595,18,normal
1780603836.9084907,0.6283009000035236,2746886,0.040771,-0.00293,1.057617,2.343511,2.48855,-0.557252,1.058407,3.463446,5823,10127,4303,5823,0,46.595,5,normal
1780603836.939791,0.6596012999943923,2746917,0.051758,0.005371,1.061768,0.778626,3.19084,-0.80916,1.063042,3.38267,5824,10129,4304,5824,0,46.595,5,normal
1780603836.971095,0.6909052999981213,2746948,0.046631,-0.044922,1.046387,1.992366,2.274809,-0.526718,1.048388,3.069481,5825,10132,4306,5825,1,46.595,18,normal
1780603837.0022085,0.7220185999904061,2746979,0.041992,-0.001465,1.053955,2.19084,3.122137,-0.801527,1.054792,3.897431,5828,10137,4308,5828,0,46.595,5,normal
1780603837.033461,0.7532712999964133,2747010,0.049316,0.008545,1.05542,0.732824,3.320611,-1.08397,1.056606,3.5691,5829,10139,4309,5829,0,46.595,6,normal
1780603837.0648181,0.7846283999970183,2747041,0.049561,-0.03418,1.043213,2.51145,2.335878,-0.137405,1.044949,3.432577,5830,10141,4310,5830,0,46.595,4,normal
1780603837.095702,0.8155122000025585,2747072,0.051758,-0.007568,1.064941,2.641221,2.885496,-0.748092,1.066225,3.982685,5833,10145,4311,5833,0,46.595,6,normal
1780603837.12707,0.8468800999980886,2747103,0.053955,0.015137,1.048828,0.89313,3.450382,-0.648855,1.050324,3.622682,5834,10147,4312,5834,0,50.179,5,normal
1780603837.1571293,0.8769395999988774,2747134,0.036377,-0.036621,1.045898,2.274809,2.175573,-0.572519,1.047171,3.19932,5835,10151,4315,5835,0,50.179,3,normal
1780603837.1880229,0.9078329999902053,2747165,0.057129,0.000488,1.058106,2.290076,2.717557,-0.755725,1.059647,3.633275,5838,10155,4316,5838,0,50.179,6,normal
1780603837.2184312,0.9382416000007652,2747196,0.046143,-0.004883,1.048828,0.694656,3.274809,-0.969466,1.049854,3.485224,5839,10157,4317,5839,0,50.179,5,normal
1780603837.249249,0.9690592999977525,2747226,0.038086,-0.03125,1.039795,1.793893,2.580153,-0.778626,1.040961,3.237514,5840,10159,4318,5840,0,50.179,4,normal
