host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label,thermal_session_id,thermal_label,thermal_width,thermal_height,thermal_frame_index,thermal_capture_latency_s,thermal_temp_min_c,thermal_temp_mean_c,thermal_temp_p95_c,thermal_temp_max_c,thermal_temp_center_c,thermal_nearest_frame_dt_s,alignment_mode
1780595591.8054938,0.027432400005636737,187,0.040771,-0.046387,1.057861,2.038168,3.175573,-0.648855,1.059662,3.82876,19,30,11,19,1,0.0,0,normal,normal6,normal,160.0,120.0,0.0,0.20442900000489317,38.77001953125,39.69465637207031,40.100006103515625,41.02001953125,40.17999267578125,0.17882529999769758,shared_host_elapsed_s_interpolation
1780595591.8362794,0.05821790000481997,217,0.067871,-0.033691,1.066162,2.587786,3.236641,-0.076336,1.068851,4.144672,23,36,13,23,0,0.0,5,normal,normal6,normal,160.0,120.0,0.0,0.20442900000489317,38.77001953125,39.69465637207031,40.100006103515625,41.02001953125,40.17999267578125,0.14803979999851435,shared_host_elapsed_s_interpolation
1780595591.8667345,0.08867300000565592,248,0.072998,0.005127,1.055908,0.664122,3.534351,-1.114504,1.058441,3.764946,27,42,15,27,0,0.0,0,normal,normal6,normal,160.0,120.0,0.0,0.20442900000489317,38.77001953125,39.69465637207031,40.100006103515625,41.02001953125,40.17999267578125,0.1175846999976784,shared_host_elapsed_s_interpolation
1780595591.8978631,0.11980179999954998,278,0.064453,-0.038818,1.055908,2.427481,2.961832,-0.419847,1.058585,3.852452,29,47,18,29,1,104.317,14,normal,normal6,normal,160.0,120.0,0.0,0.20442900000489317,38.77001953125,39.69465637207031,40.100006103515625,41.02001953125,40.17999267578125,0.08645590000378434,shared_host_elapsed_s_interpolation
1780595591.928314,0.15025259999674745,310,0.023682,-0.006836,1.048584,2.091603,2.183206,-0.358779,1.048874,3.044653,34,54,20,34,0,104.317,0,normal,normal6,normal,160.0,120.0,0.0,0.20442900000489317,38.77001953125,39.69465637207031,40.100006103515625,41.02001953125,40.17999267578125,0.05600510000658687,shared_host_elapsed_s_interpolation
1780595591.960363,0.1823015999980271,341,0.050293,-0.014404,1.060547,0.412214,2.984733,-0.885496,1.061836,3.140486,36,58,22,36,0,104.317,1,normal,normal6,normal,160.0,120.0,0.0,0.20442900000489317,38.77001953125,39.69465637207031,40.100006103515625,41.02001953125,40.17999267578125,0.023956100005307235,shared_host_elapsed_s_interpolation
1780595591.9925375,0.21447609999449924,373,0.052734,-0.030518,1.050537,3.21374,3.206107,-0.358779,1.052302,4.553676,37,61,24,37,1,104.317,17,normal,normal6,normal,160.0,120.0,0.008333834432019398,0.20432716721521751,38.76935268207151,39.694626774597715,40.100006103515625,41.01918609694111,40.17982609065085,0.008218399991164915,shared_host_elapsed_s_interpolation
1780595592.0348134,0.25675200000114273,405,0.046631,-0.015869,1.050293,0.290076,2.48855,-0.961832,1.051447,2.683681,42,68,26,42,0,104.317,1,normal,normal6,normal,160.0,120.0,0.05120353552940236,0.20380333376365103,38.76592237334722,39.69447452357644,40.100006103515625,41.01489886517548,40.1789691676095,0.05049429999780841,shared_host_elapsed_s_interpolation
1780595592.0551863,0.27712480000627693,436,0.039307,-0.04834,1.058838,2.114504,2.480916,-0.862595,1.060669,3.371964,44,72,28,44,0,104.317,0,normal,normal6,normal,160.0,120.0,0.07186248889525897,0.2035508978807228,38.76426930401967,39.694401153651576,40.100006103515625,41.01283284374665,40.17855621550823,0.0708671000029426,shared_host_elapsed_s_interpolation
1780595592.086552,0.30849060000036843,467,0.064697,-0.030762,1.053955,1.992366,2.267176,-0.503817,1.056387,3.059974,49,78,29,49,0,104.317,5,normal,normal6,normal,160.0,120.0,0.10366884831553608,0.2031622496137559,38.761724251700336,39.6942881939019,40.100006103515625,41.009652013674014,40.17792043775492,0.10223289999703411,shared_host_elapsed_s_interpolation
1780595592.1175303,0.33946889999788254,498,0.05957,0.010254,1.063477,0.206107,3.541985,-1.145038,1.065193,3.72817,53,84,31,53,0,104.317,0,normal,normal6,normal,160.0,120.0,0.13508226497111986,0.2027784027930186,38.759210641517505,39.69417662968182,40.100006103515625,41.00651048027618,40.177292514539914,0.13321119999454822,shared_host_elapsed_s_interpolation
1780595592.1488326,0.3707711000024574,529,0.019287,-0.052246,1.044189,2.312977,2.610687,-0.419847,1.045674,3.513093,55,89,34,55,1,103.586,14,normal,normal6,normal,160.0,120.0,0.166824131085756,0.20239054258265182,38.75667074976481,39.69406389897903,40.100006103515625,41.003336099927736,40.17665802594418,0.16451339999912307,shared_host_elapsed_s_interpolation
1780595592.1793268,0.4012652999954298,561,0.046631,-0.003174,1.052978,1.725191,2.29771,-0.656489,1.054015,2.947326,60,96,36,60,0,103.586,1,normal,normal6,normal,160.0,120.0,0.19774664813913895,0.20201269416233278,38.75419641993955,39.693954078180624,40.100006103515625,41.00024365948633,40.176039915328026,0.1950075999920955,shared_host_elapsed_s_interpolation
1780595592.210984,0.432922599997255,591,0.026611,-0.038818,1.045654,0.40458,2.656489,-0.908397,1.046713,2.836512,62,100,38,62,0,103.586,0,normal,normal6,normal,160.0,120.0,0.22984860193350307,0.20162043396859058,38.75162771501863,39.693840068632504,40.100006103515625,40.99703326817212,40.17539822893474,0.2266648999939207,shared_host_elapsed_s_interpolation
1780595592.2412636,0.46320230000128504,622,0.066406,-0.051758,1.062256,3.10687,3.10687,-0.412214,1.065587,4.413072,65,105,40,65,1,103.586,14,normal,normal6,normal,160.0,120.0,0.26055360616256035,0.2012452433809741,38.74917078993658,39.693731020327235,40.100006103515625,40.993962580340735,40.17478446618541,0.2569445999979507,shared_host_elapsed_s_interpolation
1780595592.2725754,0.49451390000467654,653,0.039551,-0.000244,1.047363,0.755725,2.725191,-0.89313,1.04811,2.965715,70,112,42,70,0,103.586,0,normal,normal6,normal,160.0,120.0,0.29230500430701783,0.2008572666968286,38.74663013545859,39.6936182557716,40.100006103515625,40.99078724673114,40.1741497870538,0.2882562000013422,shared_host_elapsed_s_interpolation
1780595592.3026736,0.524612299996079,684,0.033203,-0.039551,1.051025,1.564886,2.519084,-0.80916,1.052293,3.073986,72,116,44,72,0,103.586,0,normal,normal6,normal,160.0,120.0,0.32282616201006203,0.20048432256668242,38.74418792124053,39.693509860394165,40.100006103515625,40.98773494467447,40.17353969921519,0.3183545999927446,shared_host_elapsed_s_interpolation
