host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label
1780600867.4102519,0.004723199992440641,157,0.044922,-0.037109,1.065918,0.916031,2.473282,-0.992366,1.067509,2.817983,7,14,7,7,0,0.0,5,stall_risk
1780600867.4410598,0.0355314000044018,188,0.057861,-0.007324,1.055176,2.900763,3.076336,-0.412214,1.056786,4.248316,11,19,8,11,1,0.0,17,stall_risk
1780600867.4707813,0.06525280000641942,218,0.028564,-0.00415,1.054688,1.625954,2.358779,-0.519084,1.055082,2.911531,13,22,9,13,0,0.0,5,stall_risk
1780600867.5020185,0.0964897999947425,248,0.026367,-0.034668,1.061035,0.70229,2.916031,-0.938931,1.061929,3.142935,14,24,10,14,0,0.0,5,stall_risk
1780600867.5329742,0.1274457999970764,279,0.044189,-0.020264,1.051514,3.633588,3.343511,-0.152672,1.052637,4.940176,16,27,11,16,1,57.348,18,stall_risk
1780600867.5639675,0.15843900000618305,310,0.057129,0.017578,1.070801,2.022901,2.824427,-0.122137,1.072468,3.476267,18,30,12,18,0,57.348,5,stall_risk
1780600867.6047497,0.19922110000334214,341,0.01416,-0.020996,1.060059,0.114504,2.053435,-2.236641,1.060361,3.038465,21,34,13,21,0,57.348,5,stall_risk
1780600867.6263595,0.22083099999872502,372,0.054199,-0.034424,1.043945,3.961832,3.122137,-0.274809,1.045918,5.05167,24,38,14,24,0,57.348,5,stall_risk
1780600867.6586008,0.25307219999376684,404,0.041504,0.025391,1.024414,0.076336,2.740458,-0.633588,1.025569,2.813782,25,40,15,25,0,57.348,5,stall_risk
1780600867.6893272,0.2837987999955658,435,0.052002,-0.045898,1.052002,1.89313,2.236641,-0.374046,1.054286,2.95405,26,43,17,26,1,57.348,18,stall_risk
1780600867.7195294,0.3140008000045782,466,0.012207,-0.020996,1.059814,3.030534,3.251908,-0.19084,1.060093,4.449209,29,48,19,29,0,57.348,5,stall_risk
1780600867.7505903,0.34506180000607856,497,0.034424,0.005127,1.039062,-0.412214,3.022901,-1.129771,1.039645,3.253342,31,52,21,31,0,57.348,5,stall_risk
1780600867.7817917,0.37626319999981206,528,0.028076,-0.079834,1.045898,1.78626,3.305344,-0.152672,1.049316,3.76023,32,55,23,32,1,57.348,18,stall_risk
1780600867.813865,0.40833639999618754,559,0.018555,-0.014648,1.060059,2.007634,2.801527,0.267176,1.060322,3.456954,34,58,24,34,0,64.286,5,stall_risk
1780600867.8438416,0.43831300000601914,590,0.01123,-0.02002,1.046631,-0.389313,1.961832,-0.977099,1.046882,2.225999,35,60,25,35,0,64.286,5,stall_risk
1780600867.8760228,0.4704942999960622,621,0.042969,-0.059326,1.052002,1.900763,2.854962,1.51145,1.054549,3.748092,37,65,28,37,1,64.286,3,stall_risk
1780600867.9054399,0.499911399994744,652,0.065674,-0.03125,1.065186,2.419847,2.343511,1.687023,1.067666,3.76746,40,70,30,40,0,64.286,5,stall_risk
1780600867.9362807,0.5307521000067936,682,0.026855,-0.033203,1.053711,0.358779,2.572519,3.435115,1.054576,4.306576,41,72,31,41,0,64.286,5,stall_risk
1780600867.9665148,0.5609861999982968,713,0.021973,-0.043701,1.04541,1.099237,2.374046,3.29771,1.046554,4.20943,43,75,32,43,1,64.286,17,stall_risk
1780600867.9978836,0.5923551000014413,744,0.034912,-0.02002,1.041748,3.664122,3.335878,1.29771,1.042525,5.122297,47,80,33,47,0,64.286,5,stall_risk
1780600868.0281124,0.622583799995482,774,0.030762,-0.012695,1.047363,1.641221,2.328244,0.305344,1.047892,2.864885,48,82,34,48,0,64.286,5,stall_risk
1780600868.0589051,0.6533765000058338,805,0.033203,-0.037598,1.04541,1.572519,2.053435,0.709924,1.046613,2.682052,52,87,35,52,1,64.286,17,stall_risk
1780600868.0891623,0.6836336999986088,836,0.027832,-0.004395,1.046143,1.587786,3.259542,-0.610687,1.046522,3.676767,55,92,37,55,0,75.812,0,stall_risk
1780600868.12064,0.7151115000015125,867,0.037598,-0.030029,1.050293,1.465649,2.801527,-1.122137,1.051395,3.354977,56,94,38,56,0,75.812,6,stall_risk
1780600868.152301,0.7467726000031689,898,0.030029,-0.009766,1.052246,2.091603,2.725191,-1.59542,1.05272,3.787721,58,97,39,58,1,75.812,17,stall_risk
1780600868.183442,0.7779136000026483,929,0.053711,-0.023193,1.05127,1.152672,2.496183,-0.175573,1.052896,2.75507,60,100,40,60,0,75.812,5,stall_risk
1780600868.2142696,0.8087410000007367,960,0.047363,-0.041504,1.067139,1.320611,2.541985,-0.763359,1.068995,2.964526,63,104,41,63,0,75.812,5,stall_risk
1780600868.244829,0.839300399995409,991,0.045166,-0.013916,1.058838,2.160305,3.19084,-1.335878,1.059892,4.078351,66,108,42,66,0,75.812,5,stall_risk
1780600868.275761,0.8702324000041699,1022,0.033691,-0.019531,1.05835,0.946565,2.122137,0.740458,1.059066,2.438797,67,110,43,67,0,75.812,5,stall_risk
1780600868.307301,0.9017725000012433,1053,0.023438,-0.03833,1.063477,2.007634,2.580153,-1.015267,1.064425,3.423237,68,112,44,68,0,75.812,5,stall_risk
