host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label
1780596460.3909926,0.018665499999769963,189,0.044434,-0.019775,1.051758,1.748092,2.763359,-0.694656,1.052882,3.342832,0,0,0,0,0,0.0,-1,vibration
1780596460.4224582,0.050130999996326864,220,0.040283,-0.022705,1.052246,1.381679,2.778626,-1.038168,1.053262,3.272246,0,0,0,0,0,0.0,-1,vibration
1780596460.4532323,0.08090529999753926,251,0.043213,-0.02417,1.051758,1.541985,3.083969,-0.40458,1.052923,3.471638,0,0,0,0,0,0.0,-1,vibration
1780596460.4831355,0.11080840000067838,282,0.042969,-0.022461,1.049072,1.473282,2.770992,-0.549618,1.050192,3.18607,0,0,0,0,0,0.0,-1,vibration
1780596460.514622,0.14229479999630712,313,0.046875,-0.023438,1.05249,1.793893,3.022901,-0.870229,1.053794,3.621226,0,0,0,0,0,0.0,-1,vibration
1780596460.5458422,0.17351520000374876,344,0.044434,-0.022461,1.052002,1.694656,2.938931,-0.900763,1.053179,3.510064,0,0,0,0,0,0.0,-1,vibration
1780596460.5769339,0.20460680000542197,375,0.045166,-0.024658,1.05835,1.59542,2.824427,-0.793893,1.0596,3.339614,0,0,0,0,0,0.0,-1,vibration
1780596460.6159754,0.24364830000558868,406,0.043457,-0.027588,1.054688,1.48855,2.801527,-0.854962,1.055943,3.285619,1,1,0,1,0,0.0,-1,vibration
1780596460.6388996,0.2665724999969825,437,0.044678,-0.026367,1.05249,1.534351,3.068702,-0.847328,1.053768,3.533996,1,1,0,1,0,0.0,-1,vibration
1780596460.6697347,0.29740769999625627,468,0.043701,-0.025879,1.060791,1.709924,2.694656,-0.755725,1.062006,3.279654,1,1,0,1,0,0.0,-1,vibration
1780596460.7005382,0.32821100000001024,499,0.042725,-0.02417,1.055176,1.717557,2.938931,-0.656489,1.056317,3.466742,1,1,0,1,0,0.0,-1,vibration
1780596460.7320862,0.3597592000005534,530,0.046387,-0.023193,1.051025,1.503817,2.763359,-0.641221,1.052304,3.210729,1,1,0,1,0,3.584,-1,vibration
1780596460.7630405,0.39071350000449456,561,0.043457,-0.026123,1.055176,1.633588,2.923664,-0.610687,1.056393,3.404315,1,1,0,1,0,3.584,-1,vibration
1780596460.7949386,0.42261140000482555,593,0.044434,-0.024902,1.053955,1.755725,2.78626,-0.847328,1.055185,3.400556,1,1,0,1,0,3.584,-1,vibration
1780596460.8252423,0.4529153000039514,624,0.042969,-0.02417,1.052246,1.78626,2.816794,-0.633588,1.0534,3.395068,1,1,0,1,0,3.584,-1,vibration
1780596460.856658,0.4843308999988949,655,0.044434,-0.026611,1.057129,1.541985,3.015267,-0.648855,1.058397,3.44827,1,1,0,1,0,3.584,-1,vibration
1780596460.8899324,0.517605300003197,686,0.05957,0.095215,1.08252,-13.496183,1.89313,0.709924,1.08833,13.646791,1,1,0,1,0,3.584,-1,vibration
