host_epoch_s,host_elapsed_s,time_ms,ax,ay,az,gx,gy,gz,acc_mag,gyro_mag,pulse_count,edge_count,rise_count,fall_count,state,pulse_rate_hz,last_edge_dt_ms,label,thermal_session_id,thermal_label,thermal_width,thermal_height,thermal_frame_index,thermal_capture_latency_s,thermal_temp_min_c,thermal_temp_mean_c,thermal_temp_p95_c,thermal_temp_max_c,thermal_temp_center_c,thermal_nearest_frame_dt_s,alignment_mode
1780601093.823828,0.02581929998996202,161,0.05957,-0.034912,1.025391,0.274809,-4.244274,0.267176,1.027713,4.261545,8,14,6,8,0,0.0,5,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.25765949999913573,shared_host_elapsed_s_interpolation
1780601093.8539758,0.05596709999372251,192,0.0354,-0.00293,1.071045,1.580153,2.679389,-0.603053,1.071634,3.168546,9,16,7,9,0,0.0,4,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.22751169999537524,shared_host_elapsed_s_interpolation
1780601093.8853738,0.0873651999863796,223,0.039307,-0.041504,1.049072,2.396947,3.045802,0.259542,1.050628,3.884536,12,20,8,12,0,0.0,5,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.19611360000271816,shared_host_elapsed_s_interpolation
1780601093.9163582,0.11834959998668637,254,0.071777,-0.005859,1.052978,1.656489,2.427481,2.709924,1.055438,3.997537,13,22,9,13,0,51.181,4,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.16512920000241138,shared_host_elapsed_s_interpolation
1780601093.9469943,0.1489856999978656,285,0.029297,-0.026367,1.044678,1.526718,2.908397,1.870229,1.045421,3.779867,15,27,12,15,1,51.181,14,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.13449309999123216,shared_host_elapsed_s_interpolation
1780601093.9777443,0.17973559998790734,316,0.046875,0.006104,1.061768,2.694656,2.21374,-0.496183,1.062819,3.522502,17,30,13,17,0,51.181,5,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.10374320000119042,shared_host_elapsed_s_interpolation
1780601094.008655,0.21064629999455065,347,0.027344,-0.026611,1.04834,-0.328244,1.725191,-1.458015,1.049034,2.282507,20,34,14,20,0,51.181,5,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.0728324999945471,shared_host_elapsed_s_interpolation
1780601094.040443,0.24243429998750798,378,0.05249,-0.018799,1.052002,3.51145,3.015267,-0.221374,1.053478,4.633694,24,39,15,24,1,51.181,17,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.04104450000158977,shared_host_elapsed_s_interpolation
1780601094.0713754,0.2733668000000762,409,0.064941,-0.000488,1.057617,0.946565,1.755725,-0.610687,1.059609,2.086024,28,44,16,28,0,51.181,4,vibration,vibration7,vibration,160.0,120.0,0.0,0.2819291999912821,41.760009765625,43.77009201049805,44.44000244140625,44.920013427734375,43.850006103515625,0.01011199998902157,shared_host_elapsed_s_interpolation
1780601094.1026723,0.30466369999339804,440,0.012451,-0.025879,1.063232,0.51145,2.541985,-1.725191,1.06362,3.11441,29,46,17,29,0,51.181,5,vibration,vibration7,vibration,160.0,120.0,0.01860614096391641,0.2845270098596074,41.78140671417063,43.773732694223796,44.439444279889905,44.920385346140485,43.85186683117489,0.02118490000430029,shared_host_elapsed_s_interpolation
