session_id,label,has_fused,has_imu,has_thermal_summary,has_sync_summary,imu_rows,thermal_frames,fused_rows,sync_p95_s,sync_max_s,thermal_interval_max_s,errors,nan_cells,duration_s,gyro_mean,gyro_p95,pulse_mean_hz,pulse_lt_20_pct,pulse_lt_45_pct,last_edge_max_ms,pulse_count_delta,thermal_mean_c,thermal_max_c,flag_missing_file,flag_sync_p95_gt_0_75s,flag_thermal_gap_gt_2s,flag_edge_gap_gt_1000ms,flag_pulse_delta_low,flag_hot_gt_50c,flag_normal_outlier
damping1,damping,True,True,True,True,2893,90,2893,0.48956690000777603,0.7879727999970783,1.2199663999926997,,0,89.97492969999439,3.452691199446941,4.1473152,70.871240926374,0.06913238852402351,20.843415139993088,16.0,6358.0,36.03495425900308,37.47980093110625,False,False,False,False,False,False,False
damping2,damping,True,True,True,True,2892,90,2892,0.4931907800055341,0.734186800007592,1.184533299994655,,0,89.97990750000463,3.594449448478562,4.12667945,104.04377420470261,0.06915629322268327,0.06915629322268327,18.0,9377.0,39.6979420983245,41.29000854492188,False,False,False,False,False,False,False
damping3,damping,True,True,True,True,2898,90,2898,0.4842764049994003,0.8224557999928948,1.1434356999961892,,0,90.01134019999881,3.7276280314009664,4.32577705,71.74244547964113,0.03450655624568668,4.520358868184955,20.0,6456.0,41.621712159844996,43.12797020442891,False,False,False,False,False,False,False
damping4,damping,True,True,True,True,2901,90,2901,0.48539820000587497,0.7615749999968102,1.1983098999917274,,0,89.99514379999891,3.641956655980696,4.171886,62.98223784901759,0.0,2.1716649431230612,19.0,5661.0,40.75479180148397,42.0,False,False,False,False,False,False,False
damping5,damping,True,True,True,True,2886,90,2886,0.4904198249896581,0.8118148000066867,1.2046011999918846,,0,90.00514400000975,3.5934025041580044,4.08326675,92.64513478863479,0.0693000693000693,0.38115038115038113,19.0,8347.0,36.90449449851304,38.57000732421875,False,False,False,False,False,False,False
damping6,damping,True,True,True,True,2893,90,2893,0.4997196800046368,1.301269499992486,2.6036866000067675,,0,90.01049040000362,3.3796606567576912,3.9532948,61.61958969927412,0.10369858278603526,0.10369858278603526,22.0,5550.0,42.97103289965166,45.49862021008855,False,False,True,False,False,False,False
load1,load,True,True,True,True,2888,90,2888,0.4989801049989183,1.2132719000073848,2.458129100006772,,0,89.97589990000415,3.9827955671745148,5.9472557,55.62502423822715,3.8434903047091415,43.38642659279778,599.0,4973.0,36.26565673798512,39.10942117208595,False,False,True,False,False,False,False
load2,load,True,True,True,True,2894,90,2894,0.4935647049998806,0.8133400999940932,1.2059065000066767,,0,90.01351879999856,3.8444244498963376,5.0268085,61.97201727712509,21.941948859709743,38.32066344160332,191.0,5572.0,37.60663225348641,39.31556859056215,False,False,False,False,False,False,False
load3,load,True,True,True,True,2896,90,2896,0.5456150249956409,1.336184099985985,2.691386099992087,,0,90.01744929999404,3.9276540783839784,5.653422000000001,58.687226864640884,28.867403314917127,47.168508287292816,6976.0,5304.0,38.02613463153833,40.449094703580776,False,False,True,True,False,False,False
load4,load,True,True,True,True,2899,90,2899,0.4854790499972296,0.7024050999898463,1.2391408000112278,,0,90.0021318999934,3.831249674715419,5.361920299999999,60.126517419799924,0.5864091065884788,50.2587098999655,39.0,5400.0,40.48976300298435,42.31989892511711,False,False,False,False,False,False,False
load5,load,True,True,True,True,2899,90,2899,0.488130469994212,0.6832546000077855,1.1388374999951338,,0,90.0088531000074,3.624871480165574,4.799846,57.773697826836845,8.520179372197308,45.56743704725768,69.0,5178.0,42.3329472820581,44.69708889586164,False,False,False,False,False,False,False
load6,load,True,True,True,True,2894,90,2894,0.518401585000538,0.7983108000044012,1.5962061999889556,,0,89.99143940000795,3.8363648666205945,5.676993099999999,54.768852107809266,1.796821008984105,41.15411195577056,45.0,4915.0,42.84435661648548,44.58952727905517,False,False,False,False,False,False,False
load7,load,True,True,True,True,2893,90,2893,0.4962796799954958,1.0182538999943063,2.0376445000001695,,0,90.02274430000398,3.913117855513308,5.7107220000000005,56.69857898375389,0.13826477704804702,64.91531282405806,39.0,5108.0,38.12086149237771,39.98937076291494,False,False,True,False,False,False,False
load8,load,True,True,True,True,2892,90,2892,0.5020450900061404,1.1680944000108866,2.3624223000078928,,0,90.00832520000404,3.6284924484785614,4.8461101,65.64787067773167,5.809128630705394,36.583679114799445,120.0,5913.0,42.32676867478691,50.33001708984375,False,False,True,False,False,True,False
mixed_anomaly1,mixed_anomaly,True,True,True,True,2886,90,2886,0.48913090000496595,0.7220678999874508,1.1456302000005962,,0,90.00061609999102,5.735128547470548,16.32792225,56.81998787248788,10.637560637560638,23.873873873873876,755.0,5118.0,41.36124205677326,43.07877164403589,False,False,False,False,False,False,False
mixed_anomaly2,mixed_anomaly,True,True,True,True,2884,90,2884,0.48891501500038426,0.8179681000037817,1.2256911000004038,,0,89.9757099999988,5.009922171636616,12.396239999999999,57.12413349514563,6.692094313453537,29.50762829403606,1167.0,5156.0,39.10478017253904,40.517543411092014,False,False,False,True,False,False,False
mixed_anomaly3,mixed_anomaly,True,True,True,True,2898,90,2898,0.4911874099976558,0.7883306000003358,1.170314499991946,,0,89.97637279999617,5.43671604899931,13.896028400000002,54.46514906832297,11.145617667356799,17.977915804002762,228.0,4916.0,42.789150867521826,44.40807172232868,False,False,False,False,False,False,False
mixed_anomaly4,mixed_anomaly,True,True,True,True,2882,90,2882,0.5081421600021713,1.3013467999990098,2.63293039999553,,0,89.99703130000853,5.907486757807078,16.911012399999994,57.405557945870925,8.917418459403192,12.213740458015266,552.0,5169.0,46.736739747411775,53.18602506588161,False,False,True,False,False,True,False
normal1,normal,True,True,True,True,2904,90,2904,0.4924043799968785,0.8227691000065533,1.2003606999933254,,0,90.02112699999998,3.6719387262396697,4.73190125,56.010705922865014,0.0,49.13911845730027,19.0,5015.0,33.500700276599375,34.99994463022494,False,False,False,False,False,False,False
normal10,normal,True,True,True,True,2894,90,2894,0.5001199349950184,1.0668540000042412,2.1518252000096254,,0,89.980587500002,3.377234750518314,4.79516365,70.66371285418107,0.0691085003455425,0.0691085003455425,19.0,6359.0,42.63948878100796,45.28880111465912,False,False,True,False,False,False,False
normal11,normal,True,True,True,True,2903,90,2903,0.48543698999274054,0.7707708000089042,1.1834226999926614,,0,89.99584340000001,3.368168613158802,4.2483782,65.85679400620047,0.0,2.1357216672407855,20.0,5928.0,36.5328568384495,38.50817398990919,False,False,False,False,False,False,False
normal12,normal,True,True,True,True,2895,90,2895,0.5025864500043099,1.2105266000144184,2.4330157000076724,,0,90.01047120000294,3.4316026663212438,5.0284533,69.64385941278066,0.0,0.0,20.0,6262.0,40.47509883718557,42.85921272653215,False,False,True,False,False,False,False
normal2,normal,True,True,True,True,2895,90,2895,0.49079779000167023,0.8151976999943145,1.1919555999920703,,0,89.99813490000088,3.739594712953368,4.4994112,63.668765803108805,0.0690846286701209,34.853195164076,15.0,5712.0,35.19115155415025,36.40970716426911,False,False,False,False,False,False,False
normal3,normal,True,True,True,True,2896,90,2896,0.5241515000016079,1.193321200000355,2.4045214999932796,,0,89.97646790000726,3.426770110497238,4.665674,51.93843266574586,0.06906077348066297,54.73066298342542,18.0,4645.0,33.54701699762009,38.38841344788831,False,False,True,False,False,False,False
normal4,normal,True,True,True,True,2893,90,2893,0.49575643999560276,0.8606299000093713,1.7354494000028353,,0,89.98210559999279,3.6610320110611823,4.5947486,78.97177082613204,0.0,0.0,20.0,7105.0,37.320859584277756,39.95001220703125,False,False,False,False,False,False,False
normal5,normal,True,True,True,True,2892,90,2892,0.49801101999546515,0.881718999997247,1.774030100001255,,0,89.99449290000484,3.5690815961272473,4.75698245,103.82534439834023,0.1037344398340249,0.1037344398340249,20.0,9359.0,39.83379971910402,42.1288161410868,False,False,False,False,False,False,False
normal6,normal,True,True,True,True,2894,90,2894,0.48721307999949204,0.785500600002706,1.19394199999806,,0,89.99198669999896,3.5130098752591574,4.559548599999999,104.90378230822392,0.10366275051831375,0.10366275051831375,18.0,9455.0,39.98233453835232,41.60841770336161,False,False,False,False,False,False,False
normal7,normal,True,True,True,True,2899,90,2899,0.5019117400050163,0.888750500002061,1.797291299997596,,0,89.99307029999909,3.4414059351500517,4.5766824999999995,105.90733701276302,0.0,0.0,18.0,9532.0,40.89424677098768,43.32000732421875,False,False,False,False,False,False,False
normal8,normal,True,True,True,True,2903,90,2903,0.5731241999950726,1.115830900002038,2.2531740000122227,,0,90.00806170000578,3.3211037936617296,4.3689526999999995,104.56923630726835,0.0,0.0,18.0,9417.0,41.85658420928491,43.82000732421875,False,False,True,False,False,False,False
normal9,normal,True,True,True,True,2902,90,2902,0.4898340800020378,0.8285828000080073,1.19199339998886,,0,89.97553830000106,3.324963365265334,4.2639273499999994,104.27248587181253,0.0,0.0,18.0,9378.0,39.68250983820572,42.08001708984375,False,False,False,False,False,False,False
stall_risk1,stall_risk,True,True,True,True,2906,90,2906,0.5414814999930968,1.3020717000035802,2.621384800004307,,0,89.99820170000021,3.7934002938747424,4.755511,51.08447728836889,25.946317962835515,30.83275980729525,428.0,4594.0,32.817101045743144,40.111922912267495,False,False,True,False,False,False,False
stall_risk2,stall_risk,True,True,True,True,2895,90,2895,0.5104554100034874,1.2446330999955535,2.4894976999930805,,0,89.9999242000049,3.7549408939550943,4.7370779999999995,62.77157063903281,30.94991364421416,37.82383419689119,311.0,5645.0,38.37103585898853,45.702314310989415,False,False,True,False,False,False,False
stall_risk3,stall_risk,True,True,True,True,2900,90,2900,0.4889806300088821,0.8260427999921376,1.2915481999953045,,0,89.98784289999458,4.138202954482758,6.389437349999992,58.32284793103448,30.17241379310345,37.51724137931035,421.0,5234.0,41.45386779922058,43.36998803770653,False,False,False,False,False,False,False
stall_risk4,stall_risk,True,True,True,True,2900,90,2900,0.4962116950002382,1.0069956999941496,2.0289988000004087,,0,90.01580350000586,3.61621727,4.82807815,78.4715648275862,16.586206896551726,19.379310344827587,430.0,7094.0,43.28585251485025,46.3800048828125,False,False,True,False,False,False,False
stall_risk5,stall_risk,True,True,True,True,2896,90,2896,0.4902998999968986,0.8115628999948967,1.1771131999994395,,0,90.0176158999966,3.7448737223756905,5.484026,73.10179281767957,17.12707182320442,20.78729281767956,650.0,6598.0,41.50682643439356,43.00929854451287,False,False,False,False,False,False,False
stall_risk6,stall_risk,True,True,True,True,2897,90,2897,0.4884562400053255,0.8255953999905614,1.1941209000069648,,0,89.97477299999446,3.506383695547118,5.152630399999999,56.44219848118743,12.909906800138074,20.469451156368656,173.0,5081.0,45.905533164301616,47.7691391727847,False,False,False,False,False,False,False
vibration1,vibration,True,True,True,True,2881,90,2881,0.4881891999975778,0.765705000012531,1.1520768999907887,,0,89.98578180000186,4.77055227559875,9.029066,64.93231933356473,0.0,34.18951752863589,18.0,5820.0,34.638362934289376,36.87992400547852,False,False,False,False,False,False,False
vibration2,vibration,True,True,True,True,2869,90,2869,0.49024444000388023,0.8749744000087958,1.1679416999977548,,0,89.98857980000321,5.595793997211572,15.403545,77.53348518647611,0.0,18.22934820494946,20.0,6998.0,37.32891878274692,38.768312864723626,False,False,False,False,False,False,False
