feature,permutation_importance_mean,permutation_importance_std,model_importance,plot_importance
motion__ay_min,0.0,0.0,0.08362996676510702,0.08362996676510702
motion__ay_range,0.0,0.0,0.06675444711403092,0.06675444711403092
motion__gz_range,0.0,0.0,0.06580750599947534,0.06580750599947534
motion__gz_min,0.0,0.0,0.06216165275563823,0.06216165275563823
motion__gy_max,0.0,0.0,0.048204614518262696,0.048204614518262696
motion__gyro_mag_max,0.0,0.0,0.03554943735015801,0.03554943735015801
motion__gy_range,0.0,0.0,0.034657201445844554,0.034657201445844554
motion__gz_max,0.0,0.0,0.03457200539236711,0.03457200539236711
motion__gyro_mag_range,0.0,0.0,0.030073350592334513,0.030073350592334513
motion__gy_min,0.0,0.0,0.029834194113056635,0.029834194113056635
motion__ay_max,0.0,0.0,0.02912701327369978,0.02912701327369978
motion__acc_mag_p25,0.0,0.0,0.027963703772383875,0.027963703772383875
motion__gz_rms,0.0,0.0,0.02457887302617765,0.02457887302617765
motion__gy_std,0.0,0.0,0.023858604198675224,0.023858604198675224
motion__az_p25,0.0,0.0,0.02274853011082235,0.02274853011082235
motion__gx_p25,0.0,0.0,0.022698592623117245,0.022698592623117245
motion__gx_p75,0.0,0.0,0.01910554765083317,0.01910554765083317
motion__ay_std,0.0,0.0,0.0182741917276254,0.0182741917276254
motion__gyro_mag_gt_6_frac,0.0,0.0,0.018173473590133965,0.018173473590133965
motion__gy_rms,0.0,0.0,0.016850278102080157,0.016850278102080157
motion__gx_p05,0.0,0.0,0.016841182718596248,0.016841182718596248
motion__ay_p75,0.0,0.0,0.015894604827647384,0.015894604827647384
motion__acc_mag_p05,0.0,0.0,0.01534917121338253,0.01534917121338253
motion__ay_p05,0.0,0.0,0.014258282826623302,0.014258282826623302
motion__ax_max,0.0,0.0,0.01361742411823838,0.01361742411823838
motion__ay_p95,0.0,0.0,0.013577823805191652,0.013577823805191652
motion__gx_p95,0.0,0.0,0.01335016684758407,0.01335016684758407
