feature,permutation_importance_mean,permutation_importance_std,model_importance,plot_importance
pulse__last_edge_dt_ms_max,-0.015303136835963287,0.005754478418299624,0.03923788326888169,0.03923788326888169
pulse__rate_hz_p05,0.004755433280369633,0.007662135585684825,0.03793358979286103,0.03793358979286103
pulse__last_edge_dt_ms_range,-0.004752815758420044,0.005392904124414414,0.03420560498665958,0.03420560498665958
motion__ay_p95,0.007208762647359102,0.004347047437094403,0.03343516425359978,0.03343516425359978
pulse__rate_lt_30_frac,0.0011258551872621147,0.002251710374524229,0.030080661073845025,0.030080661073845025
motion__ay_std,0.003932052353104965,0.004815760953508535,0.028272738397608913,0.028272738397608913
motion__gz_max,0.0029448340058725393,0.004239305520488604,0.02713988036225836,0.02713988036225836
motion__gx_std,-0.003355515224843749,0.0013161413545873812,0.02670992010240095,0.02670992010240095
motion__ay_range,0.0029616674814039773,0.0037003917453090557,0.026541563939922738,0.026541563939922738
motion__ay_p05,0.0,0.0,0.02414486442887237,0.02414486442887237
motion__gx_p95,-0.002839282113329326,0.0017121515352510382,0.02294357303690989,0.02294357303690989
motion__gz_range,0.002824192465759645,0.004134142085024271,0.021603999871397404,0.021603999871397404
motion__ay_min,0.0022517103745242294,0.0027577707330577847,0.020235695917968276,0.020235695917968276
motion__gy_range,0.0,0.0,0.019382338796938396,0.019382338796938396
motion__gyro_mag_std,0.0008020050125313149,0.0016040100250626296,0.019134484659651084,0.019134484659651084
pulse__rate_hz_min,0.0008251699427385202,0.003824063949285263,0.017392263184150134,0.017392263184150134
pulse__last_edge_dt_ms_std,0.0006553420588508274,0.0024520654553628414,0.01679752489709737,0.01679752489709737
motion__gy_min,0.0,0.0,0.01578770413269584,0.01578770413269584
motion__gyro_mag_gt_8_frac,0.0016589439983475322,0.003659098456733316,0.015475963079802228,0.015475963079802228
motion__gx_p25,0.0,0.0,0.014944316557093789,0.014944316557093789
motion__gyro_mag_rms,-0.002323049001814903,0.0018967615673094354,0.014348826753534837,0.014348826753534837
motion__gx_p05,-0.003355515224843749,0.0013161413545873812,0.013999089192025688,0.013999089192025688
motion__gyro_mag_gt_10_frac,0.0031834275144613307,0.0027258050231588524,0.013824481456205507,0.013824481456205507
motion__ay_rms,0.0,0.0,0.013591258914835246,0.013591258914835246
motion__gyro_mag_range,0.0026269954369449343,0.0028083762519047007,0.01346081882522378,0.01346081882522378
motion__gy_max,0.0,0.0,0.013346737766849122,0.013346737766849122
motion__gyro_mag_max,0.0042680776014109465,0.002573747632727302,0.012529482497590037,0.012529482497590037
motion__gyro_mag_gt_20_frac,0.006234103777963429,0.0023028043791571123,0.011482590882344396,0.011482590882344396
motion__ay_p75,-0.006083732762498695,0.004967346999858175,0.011423533694736691,0.011423533694736691
motion__gz_min,0.0022517103745242294,0.0027577707330577847,0.011201069249797331,0.011201069249797331
motion__gz_rms,0.0026269954369449343,0.0028083762519047007,0.0111933045084928,0.0111933045084928
motion__gz_p05,-0.007435673376387294,0.004483879755111225,0.011106547427121815,0.011106547427121815
motion__gyro_mag_mean,-0.002323049001814903,0.0018967615673094354,0.010566097307635393,0.010566097307635393
motion__ay_max,0.0,0.0,0.010448266068589116,0.010448266068589116
motion__gx_p75,0.0,0.0,0.010361561576359169,0.010361561576359169
motion__az_p25,0.0,0.0,0.009999711969246039,0.009999711969246039
motion__gyro_mag_gt_6_frac,-0.002839282113329326,0.0017121515352510382,0.00992674245662305,0.00992674245662305
motion__gx_rms,-0.003355515224843749,0.0013161413545873812,0.009902749194321393,0.009902749194321393
motion__acc_mag_p25,0.0,0.0,0.009439478085237114,0.009439478085237114
motion__gz_std,0.0026269954369449343,0.0028083762519047007,0.00934188194989097,0.00934188194989097
motion__gyro_mag_p95,0.0,0.0,0.008982341482072394,0.008982341482072394
pulse__edge_gt_50_frac,-0.0067597030694429945,0.004779831879210661,0.008096111884919724,0.008096111884919724
motion__gyro_mag_gt_30_frac,0.00053467000835421,0.0013631464029654667,0.007675664072060008,0.007675664072060008
pulse__last_edge_dt_ms_p95,0.0,0.0,0.007609947707884553,0.007609947707884553
pulse__last_edge_dt_ms_rms,-0.006083732762498695,0.004967346999858175,0.00739654129446356,0.00739654129446356
pulse__rate_lt_20_frac,-0.0067597030694429945,0.004779831879210661,0.007236781339179894,0.007236781339179894
motion__gy_std,0.0,0.0,0.007106416580760714,0.007106416580760714
motion__gyro_mag_gt_4_frac,-0.004731792148610096,0.005058498584435973,0.00623454400253389,0.00623454400253389
